"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /alojamiento",2,22000,22000,22000,22000,22000,22000,22000,22000,22000
"GET /alojamiento/23",1,2100,2100,2100,2100,2100,2100,2100,2100,2100
"POST /alojamiento/check/23",1,2400,2400,2400,2400,2400,2400,2400,2400,2400
"POST /alojamiento/uncheck/10?justificacion=Direccion%20mal%20cargada",1,2500,2500,2500,2500,2500,2500,2500,2500,2500
"POST /usuario/login",1,2400,2400,2400,2400,2400,2400,2400,2400,2400
"Aggregated",6,2500,2500,18000,18000,22000,22000,22000,22000,22000
