"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /alojamiento",1,2100,2100,2100,2100,2100,2100,2100,2100,2100
"GET /alojamiento/estado/VALIDADO",1,47000,47000,47000,47000,47000,47000,47000,47000,47000
"POST /usuario/login",2,2800,2800,2800,2800,2800,2800,2800,2800,2800
"Aggregated",4,2800,2800,47000,47000,47000,47000,47000,47000,47000
